"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
28.,"($) Bedsure Quilts Queen Size - Grey Bedspreads Queen Size with Basket Weave Pattern, Soft Quilt Bedding Set, Lightweight Comforter Set Coverlet for All Seasons with 2 Pillow Shams (90"" x 96"")","B01DLK7WR4","https://www.amazon.com/dp/B01DLK7WR4?psc=1","https://m.media-amazon.com/images/I/81dhvC1WbLL._AC_SY355_.jpg","Bedsure",33.99,8709,718,800,388282.56,28795.92,188,2806,"US",14.74,1,4.6,18161,9,164,"Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.61 x 7.44 x 7.72 in",5.58,"N/A","Mar 29, 2016","Sponsored","No",126,"Bedsure  Collections"
29.,"($) Bedsure Quilts Queen Size - Lightweight Comforter Queen Size for Summer, Bright White Bedspread Quilt with Clover Pattern, Soft Ultrasonic Coverlet, Modern All-Season Bedding, 90 x 96 Inches","B0BMQ5QVCK","https://www.amazon.com/dp/B0BMQ5QVCK?psc=1","https://m.media-amazon.com/images/I/91pheu6DTaL._AC_SY355_.jpg","Bedsure",34.97,6963,786,900,309740.56,31699.71,190,3803,"US",13.37,2,4.4,2971,9,"N/A","Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.65 x 7.09 x 7.56 in",4.98,"N/A","Nov 17, 2022","Sponsored","No",46,"Bedsure  Collections"
30.,"($) Bedsure Quilts Queen Size Bedspread, Thin Comforter, Navy Blue Coverlet","B0GC4NMJD2","https://www.amazon.com/dp/B0GC4NMJD2?psc=1","https://m.media-amazon.com/images/I/91RsSdLUdTL._AC_SY355_.jpg","Bedsure",28.49,6963,125,"N/A",309740.56,4717.83,71,3803,"US",12.39,1,4.4,2971,9,"N/A","Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.76 x 6.97 x 7.60 in",4.7,"N/A","Mar 25, 2026","Sponsored","No",6,"Bedsure  Collections"
31.,"($) Bedsure Quilts Queen Size Bedspread, Lightweight Comforter, Taupe Coverlet","B0C4DBHRTD","https://www.amazon.com/dp/B0C4DBHRTD?psc=1","https://m.media-amazon.com/images/I/81PxcUtDbiL._AC_SY355_.jpg","Bedsure",39.99,6963,153,200,309740.56,7191.78,74,3803,"US",14.12,1,4.4,2971,9,"N/A","Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.76 x 7.20 x 7.44 in",5.14,"N/A","May 4, 2023","Sponsored","No",40,"Bedsure  Collections"
32.,"($) Bedsure Quilts Queen Size, Lightweight Striped Thin Comforter, Sage Green","B0G7JWN2GD","https://www.amazon.com/dp/B0G7JWN2GD?psc=1","https://m.media-amazon.com/images/I/91qOLYZ0VjL._AC_SY355_.jpg","Bedsure",48.99,1753,28,"N/A",106063.65,1664.1,73,36208,"HK",17.32,1,4.6,1288,9,19,"Bedsure Sleep Solutions","Home & Kitchen","Large Standard-Size","FBA","15.20 x 7.32 x 7.56 in",5.71,"N/A","Apr 13, 2026","Sponsored","No",5,"Bedsure Sleep Solutions"
33.,"($) Bedsure Quilt Queen Size Bedspread, Thin Comforter, Cream Yellow Coverlet","B0CP5TTWJT","https://www.amazon.com/dp/B0CP5TTWJT?psc=1","https://m.media-amazon.com/images/I/91BH9sQARGL._AC_SY355_.jpg","Bedsure",44.99,25,8,100,1133.08,340.8,73,90259,"US",15.72,1,4.4,482,9,"N/A","Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.72 x 7.40 x 7.44 in",5.36,"N/A","Feb 4, 2024","Sponsored","No",31,"Bedsure  Collections"
34.,"($) Oversized King Quilt Set 120x120, Lightweight Pick Stitch Design","B0H3P4H4GS","https://www.amazon.com/dp/B0H3P4H4GS?psc=1","https://m.media-amazon.com/images/I/81D3pRImcML._AC_SY355_.jpg","RiverGlow",79.99,19,3,"N/A",1229.31,214.72,64,507006,"CN",21.47,1,4.8,8,7,2,"Everlinn","Home & Kitchen","Large Standard-Size","FBA","5.90 x 15.40 x 11.50 in",9,"N/A","Jun 2, 2026","Sponsored","No",3,"Everlinn"
35.,"($) FURRFREE Quilt Set - Lightweight Comforter for All Seasons Quilt Bedding Set, Pet Hair Repellent Bedding Light Pistachio Queen Quilt with 2 Pillow Shams","B0G6KS6ZTX","https://www.amazon.com/dp/B0G6KS6ZTX?psc=1","https://m.media-amazon.com/images/I/61dcToLWLJL._AC_SY355_.jpg","SLASHOP",99,26,2,"N/A",2846.64,191.79,152,362281,"US",21.45,1,4,8,6,1,"THE SLASHOP","Home & Kitchen","Large Standard-Size","FBA","4.72 x 16.38 x 12.83 in",4.96,"N/A","Dec 12, 2025","Sponsored","No",9,"THE SLASHOP"
36.,"($) Bedsure Quilts King Size - Grey Bedspreads King Size with Basket Weave Pattern, Soft Quilt Bedding Set, Lightweight Comforter Set Coverlet for All Seasons with 2 Pillow Shams (106"" x 96"")","B01DLK7Y8Q","https://www.amazon.com/dp/B01DLK7Y8Q?psc=1","https://m.media-amazon.com/images/I/91ItsLVK3oL._AC_SY355_.jpg","Bedsure",39.99,8709,519,600,388282.56,24080.97,187,2806,"US",16.21,1,4.6,18160,9,164,"Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.72 x 7.56 x 7.80 in",6.33,"N/A","Mar 29, 2016","Sponsored","No",126,"Bedsure  Collections"
37.,"($) C&F Home Shiloh Sea Glass Queen Coverlet Set Cotton Reversible Machine Washable Lightweight Bedspread Coverlet Full/Queen 3 Piece Set Green","B0CJ5D8LKQ","https://www.amazon.com/dp/B0CJ5D8LKQ?psc=1","https://m.media-amazon.com/images/I/81eBuXLQdKL._AC_SX355_.jpg","C&F Home",183.85,0,0,"N/A",0,0,139,4957738,"US","N/A",1,"N/A",0,"N/A",0,"Plum & Post","Home & Kitchen","N/A","N/A","N/A","N/A","N/A","N/A","Sponsored","No","N/A","Plum & Post"
38.,"Bedsure Queen Comforter Set Prewashed Soft Bedding Set 3Pcs White 90""x90""","B0CGLPNL77","https://www.amazon.com/dp/B0CGLPNL77?psc=1","https://m.media-amazon.com/images/I/81dTpCrVC1L._AC_SY355_.jpg","Bedsure",37.99,53955,3330,4000,3069584.09,199749.3,73,75,"HK",18.14,4,4.2,10635,7,529,"Bedsure Sleep Solutions","Home & Kitchen","Large Standard-Size","FBA","15.67 x 5.43 x 11.85 in",6,"N/A","Oct 31, 2023",,"No",35,"Bedsure Sleep Solutions"
39.,"Queen Quilt-Lightweight Bedspreads Olive Green Queen Size Quilt Bedding Set","B0CQT8LKMK","https://www.amazon.com/dp/B0CQT8LKMK?psc=1","https://m.media-amazon.com/images/I/71ghS2nS1bL._AC_SY355_.jpg","WRENSONGE",39.99,5633,647,700,307558.65,29127.09,75,7533,"CN",16.45,2,4.5,856,9,48,"Wrensonge","Home & Kitchen","Large Standard-Size","FBA","16.69 x 5.47 x 12.56 in",6.57,"N/A","Dec 22, 2023",,"No",33,"Wrensonge"
40.,"RECYCO Channel Box Stitch Velvet Quilt Set, King Size, Natural Tan","B0FHPSJW6K","https://www.amazon.com/dp/B0FHPSJW6K?psc=1","https://m.media-amazon.com/images/I/81QaAuKyPCL._AC_SY355_.jpg","RECYCO",85.49,12560,547,400,1062018.48,45955.81,66,1622,"CN",24.17,2,4.7,6141,9,142,"RECYCO HOME","Home & Kitchen","Large Standard-Size","FBA","17.00 x 5.10 x 12.80 in",10.1,"N/A","Jul 16, 2025",,"No",14,"RECYCO HOME"
41.,"HYMOKEGE Queen Comforter Set Seersucker 7 Pieces, All Season Luxury Bed in a Bag for Bedroom, Bedding Set with Comforters, Sheets, Pillowcases & Shams, Dark Grey","B0BNJDPSF7","https://www.amazon.com/dp/B0BNJDPSF7?psc=1","https://m.media-amazon.com/images/I/81VVMnTq4aL._AC_SY355_.jpg","HYMOKEGE",31.99,53001,5339,6000,2356606.75,175076.08,161,120,"CN",14.25,2,4.4,11755,9,503,"HYMOKEGE","Home & Kitchen","Large Standard-Size","FBA","16.93 x 5.12 x 11.85 in",9.52,"N/A","Nov 28, 2022",,"No",46,"HYMOKEGE"
