campaign,campaign_id,name_has_plus
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout farmhouse curtains),124633972910956,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(curtains blackout 84 inch length),265235302949585,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(floor length blackout curtains),61736922481015,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(lightweight blackout curtains),232781343314787,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(livingroom blackout curtains),131306656163299,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural blackout curtains),80211595091492,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(oeko tex blackout curtains),58895800926169,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(room curtains blackout),143487852242049,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(textured blackout curtains),163935466534017,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(thermal blackout curtains 84 inch),64648054122800,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(thermal insulated blackout curtains),114805778350038,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(total blackout curtains),121463561394289,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(2 panel blackout curtains),121593280508318,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(52 x 90 blackout curtains),6756500548093,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(52x90 blackout curtains 2 panels),263449289303993,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(90 blackout curtains 2 panel set),76677690018745,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(90 blackout curtains),41099167087168,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(90 inch blackout curtains 2 panel set),182660296052585,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(90 inch blackout curtains),153481825613778,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(90 inch curtains blackout),168608260665053,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(beige blackout curtains),153154496969586,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(beige curtains blackout),240055477304086,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout beige curtains),189835504335870,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtain panels),200486753467108,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains 2 panel set),126030838905641,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains 2 panels),184130614641375,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains 90 inches long),106910226081469,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains beige),167314046143922,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains farmhouse style),228297069963108,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains for window),155681698323180,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains two panels),164407132393164,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(blackout curtains with rings),231786471499830,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(complete blackout curtains),57687887581458,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(cottage core blackout curtains),268746784733112,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(curtains blackout 90 inches long),96954165539190,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(curtains blackout),143424246594085,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(farmhouse blackout curtains),32104093526372,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(farmhouse curtains blackout),263047730629608,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(light blackout curtains),16538890355743,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(light colored blackout curtains),74524626769917,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(long blackout curtains),279654310670305,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(luxury blackout curtains),263971780219603,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(machine washable blackout curtains),5496689144592,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(neutral blackout curtains),135665128199157,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(sun blackout curtains),140874258682113,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(thermal blackout curtains),181087659629312,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(true blackout curtains no light),131585500460540,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(wide panel blackout curtains 52 inch),205579187927729,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(window curtains blackout),170124811113628,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LIGHT-BEIGE-2-PCS)-(light beige blackout curtains),159404131443623,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LIGHT-GREY-2-PCS)-(grey blackout curtains),71850822707150,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(beige blackout curtains 96 inches long),246358732171470,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(52 x 96 blackout curtains 2 panels),140332469531230,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch blackout curtains),104756682077920,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains 2 panel set blackout),272745169591779,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96 inches long),278048366230437,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96),153516293638204,False
